city,name,amenity,shop
Tanta,فتح الله جملة ماركت,,supermarket
Tanta,Carrefour,,supermarket
Tanta,Unknown,,clothes
Tanta,موديلز,,clothes
Tanta,عم طلاح,restaurant,
Tanta,Unknown,cafe,
Tanta,Hamodi Store,,clothes
Tanta,صيدلية الدكتورة آية راضى,pharmacy,
Tanta,Aly,cafe,
Tanta,فتح الله - إعمار مول,,supermarket
Tanta,Unknown,pharmacy,
Tanta,صيدلية الدكتور احمد حسن,pharmacy,
Tanta,ابو دشيش,restaurant,
Tanta,Lapip Lounge,cafe,
Tanta,نور الدين,,supermarket
Mansoura,Maxim,cafe,
Mansoura,البارون,restaurant,
Mansoura,دجاج كنتكى,restaurant,
Mansoura,ماكدونالدز,restaurant,
Mansoura,تكا,restaurant,
Mansoura,بيتزا هت,restaurant,
Mansoura,Metro Market,,supermarket
Mansoura,فرنش فرايز,restaurant,
Mansoura,Buffalo Burger,restaurant,
Mansoura,دومينوز بيتزا,restaurant,
Mansoura,Mobinil,,mobile_phone
Mansoura,Mo'men,restaurant,
Mansoura,Dafodil,,clothes
Mansoura,الخان,restaurant,
Mansoura,مؤمن,restaurant,
Mansoura,Vodafone,,mobile_phone
Mansoura,Gardino Cafe,cafe,
Mansoura,كابتشينو,restaurant,
Mansoura,Terranova,,clothes
Mansoura,Spectra Restaurant & Cafe,cafe,
Mansoura,Pinci,cafe,
Mansoura,Cat Mobie,,mobile_phone
Mansoura,Mobile Shop,,mobile_phone
Mansoura,Cavalo,,clothes
Mansoura,I2 Stores,,mobile_phone
Mansoura,صيدلية وادى النيل,pharmacy,
Mansoura,علاء الدين,restaurant,
Mansoura,Caj,,clothes
Mansoura,بيانو بيانو,,clothes
Mansoura,صيدلية سراج الدين,pharmacy,
Mansoura,رابحة,,clothes
Mansoura,صيدليات العزبى,pharmacy,
Mansoura,Viola,,clothes
Mansoura,Cacao,,clothes
Mansoura,Harby,,clothes
Mansoura,وكالة المنصورة,,supermarket
Mansoura,صيدلية الطرشوبى,pharmacy,
Mansoura,كشرى الحجاز,restaurant,
Mansoura,مطاعم البغل الكبرى,restaurant,
Mansoura,كوفى شوب الحرافيش,cafe,
Mansoura,قطونيل فيجا,,clothes
Mansoura,اولاد رجب,,supermarket
Mansoura,نجوم التوحيد والنور,,clothes
Mansoura,سنتر الملكة,,clothes
Mansoura,ديتكس,,clothes
Mansoura,الشرقاوى,,supermarket
Mansoura,ابو شريف,,clothes
Mansoura,حسن محمد حسن,,clothes
Mansoura,كلاسيك,,clothes
Mansoura,صيدلية د. حمدى,pharmacy,
Mansoura,الصالح ايوب,,supermarket
Mansoura,كشرى زيزو,restaurant,
Mansoura,فتح الله جملة ماركت,,supermarket
Mansoura,رمضان الكبابجى الوحيد,restaurant,
Mansoura,ولعتين,restaurant,
Mansoura,صيدلية البسطويسى,pharmacy,
Mansoura,مركز النصر الرياضى,,clothes
Mansoura,البيت التركى,,clothes
Mansoura,Aswaq Al-Mona,,supermarket
Mansoura,Etisalat,,mobile_phone
Mansoura,Wekalet El-Mansoura,,supermarket
Mansoura,Al Sabahy,restaurant,
Mansoura,Cook Door,restaurant,
Mansoura,KFC,fast_food,
Mansoura,Istacuza,restaurant,
Mansoura,Wekalet El Mansoura,,supermarket
Mansoura,Panadora,restaurant,
Mansoura,Cappuccino,restaurant,
Mansoura,Omar Afandy,,clothes
Mansoura,New Born,,clothes
Mansoura,Ravin,,clothes
Mansoura,Wagdy Galal,,clothes
Mansoura,Pyramisa,cafe,
Mansoura,Awadalla Market,,supermarket
Mansoura,Unknown,,supermarket
Mansoura,Unknown,pharmacy,
Mansoura,كافيه اندريا,cafe,
Mansoura,مقهى البتراوي,cafe,
Mansoura,Al Dewan,restaurant,
Mansoura,المحمدي,restaurant,
Mansoura,Elghaly,cafe,
Mansoura,Opaa,cafe,
Mansoura,Coffee Shop Company,cafe,
Mansoura,Al Nakhil,restaurant,
Mansoura,كاتشب,restaurant,
Mansoura,المالكي,restaurant,
Mansoura,أهل الشام,restaurant,
Mansoura,Lava,restaurant,
Mansoura,Chicks,restaurant,
Mansoura,Ivano,cafe,
Mansoura,Ahl Alsham,restaurant,
Mansoura,مطاعم البغل الكبري,restaurant,
Mansoura,Maqlet al-Estad,,supermarket
Mansoura,Carrefour Mart,,supermarket
Mansoura,Cofee Shop Company,cafe,
Mansoura,Pizza Hut,restaurant,
Mansoura,Caporia,restaurant,
Mansoura,Cheif Yousry,restaurant,
Mansoura,Tarshoby,pharmacy,
Mansoura,Al Mohamdy,restaurant,
Mansoura,Al Ta'lab,restaurant,
Mansoura,Metro,,supermarket
Mansoura,Sally,pharmacy,
Mansoura,Manhaten,cafe,
Mansoura,WE,,mobile_phone
Mansoura,Wekalet Abo Raya,,supermarket
Mansoura,Fattoma,restaurant,
Mansoura,زيزو,restaurant,
Mansoura,مول الشوا الجديد,,clothes
Mansoura,كافيه عاطف,cafe,
Mansoura,Khalifa,pharmacy,
Mansoura,Hello,cafe,
Mansoura,محمصات نور الصباح,,supermarket
Mansoura,القيطى العطار,,supermarket
Mansoura,اشرف حسنى جمله,,supermarket
Mansoura,هيثم محمود جمله,,supermarket
Mansoura,شركة تبارك جمله,,supermarket
Mansoura,ڤيڤيدو كافي,cafe,
Mansoura,RAVA,,clothes
Mansoura,فطاطري الدمياطي,restaurant,
Mansoura,فيكس كلاب-خدمة الجوال,,mobile_phone
Mansoura,سوبر ماركت الصعيدي,,supermarket
Mansoura,Kansas Fried Chicken,fast_food,
Mansoura,عم سمير فرع المنصورة,restaurant,
Mansoura,Unknown,cafe,
Zagazig,إيمان عبد الجواد,pharmacy,
Zagazig,فرع اورانج,,mobile_phone
Zagazig,كابتن هيما,cafe,
Zagazig,كشري التحرير,restaurant,
