scraped_date,type,city,region,price,area,bedrooms,bathrooms,floor_numeric,floor_label,furnished
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,12000,200,3,3,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,8500,130,3,2,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,5000,130,2,1,3.0,3,no
2026-05-10,apartment,Cairo,Nasr City,8500,200,3,1,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,7000,160,3,2,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,3000,130,3,2,2.0,2,no
2026-05-10,apartment,Cairo,Nasr City,15000,280,4,2,6.0,6,no
2026-05-10,apartment,Giza,Sheikh Zayed,18000,134,3,2,3.0,3,no
2026-05-10,duplex,Giza,Sheikh Zayed,23000,240,3,3,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,12000,70,2,1,3.0,3,yes
2026-05-10,apartment,Alexandria,Kafr Abdo,11000,200,2,2,10.0,10,no
2026-05-10,apartment,Cairo,Rehab City,18000,108,3,1,2.0,2,yes
2026-05-10,apartment,Cairo,Rehab City,10000,171,3,3,2.0,2,no
2026-05-10,apartment,Cairo,Nasr City,22500,250,3,3,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,400,4,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,21000,208,3,3,3.0,3,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,22500,210,3,3,4.0,4,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000,330,3,3,3.0,3,yes
2026-05-10,apartment,Cairo,Madinaty,14000,137,3,2,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,30000,197,3,3,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,30000,133,2,2,4.0,4,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,10000,200,3,3,0.0,Ground,no
2026-05-10,apartment,Cairo,Nasr City,4000,120,3,1,3.0,3,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,11000,150,3,2,0.0,Ground,yes
2026-05-10,apartment,Cairo,Heliopolis,35000,390,4,4,6.0,6,no
2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,45000,253,4,3,0.0,Ground,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,17000,148,2,3,3.0,3,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,27000,140,2,3,2.0,2,yes
2026-05-10,apartment,Cairo,Rehab City,8500,131,3,2,3.0,3,no
2026-05-10,studio,Cairo,New Cairo - El Tagamoa,15000,88,1,1,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,160,3,2,2.0,2,no
2026-05-10,apartment,Cairo,Rehab City,18000,139,3,3,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000,200,3,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000,133,2,2,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,32000,145,2,2,2.0,2,yes
2026-05-10,apartment,Cairo,Madinaty,4700,82,2,1,2.0,2,no
2026-05-10,apartment,Cairo,Madinaty,5000,107,2,1,2.0,2,no
2026-05-10,apartment,Cairo,Rehab City,15000,99,2,1,3.0,3,yes
2026-05-10,apartment,Giza,Sheikh Zayed,6000,130,3,2,2.0,2,no
2026-05-10,apartment,Alexandria,Kafr Abdo,8000,175,3,2,4.0,4,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,21000,240,3,3,1.0,1,no
2026-05-10,apartment,Giza,Dokki,14000,85,3,1,0.0,Ground,yes
2026-05-10,apartment,Cairo,Rehab City,15000,99,2,1,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,12000,160,3,2,2.0,2,yes
2026-05-10,apartment,Alexandria,Kafr Abdo,7000,165,3,1,3.0,3,no
2026-05-10,apartment,Cairo,Nasr City,20000,300,4,3,1.0,1,no
2026-05-10,apartment,Cairo,Rehab City,16000,90,2,1,1.0,1,yes
2026-05-10,apartment,Cairo,Madinaty,9500,175,3,3,6.0,6,no
2026-05-10,apartment,Cairo,Madinaty,6500,135,3,2,1.0,1,no
