governorate,city,type,region,price,area
Cairo,Cairo,apartment,New Cairo - El Tagamoa,12000,200
Cairo,Cairo,apartment,New Cairo - El Tagamoa,8500,130
Cairo,Cairo,apartment,New Cairo - El Tagamoa,5000,130
Cairo,Cairo,apartment,Nasr City,8500,200
Cairo,Cairo,apartment,New Cairo - El Tagamoa,7000,160
Cairo,Cairo,apartment,New Cairo - El Tagamoa,3000,130
Cairo,Cairo,apartment,Nasr City,15000,280
Giza,Giza,apartment,Sheikh Zayed,18000,134
Giza,Giza,duplex,Sheikh Zayed,23000,240
Giza,Giza,apartment,Sheikh Zayed,12000,70
Alexandria,Alexandria,apartment,Kafr Abdo,11000,200
Cairo,Cairo,apartment,Rehab City,18000,108
Cairo,Cairo,apartment,Rehab City,10000,171
Cairo,Cairo,apartment,Nasr City,22500,250
Cairo,Cairo,apartment,New Cairo - El Tagamoa,15000,400
Cairo,Cairo,apartment,New Cairo - El Tagamoa,21000,208
Cairo,Cairo,apartment,New Cairo - El Tagamoa,22500,210
Cairo,Cairo,apartment,New Cairo - El Tagamoa,20000,330
Cairo,Cairo,apartment,Madinaty,14000,137
Cairo,Cairo,apartment,New Cairo - El Tagamoa,30000,197
Cairo,Cairo,apartment,New Cairo - El Tagamoa,30000,133
Cairo,Cairo,apartment,New Cairo - El Tagamoa,10000,200
Cairo,Cairo,apartment,Nasr City,4000,120
Cairo,Cairo,apartment,New Cairo - El Tagamoa,11000,150
Cairo,Cairo,apartment,Heliopolis,35000,390
Cairo,Cairo,duplex,New Cairo - El Tagamoa,45000,253
Cairo,Cairo,apartment,New Cairo - El Tagamoa,17000,148
Cairo,Cairo,apartment,New Cairo - El Tagamoa,27000,140
Cairo,Cairo,apartment,Rehab City,8500,131
Cairo,Cairo,studio,New Cairo - El Tagamoa,15000,88
Cairo,Cairo,apartment,New Cairo - El Tagamoa,15000,160
Cairo,Cairo,apartment,Rehab City,18000,139
Cairo,Cairo,apartment,New Cairo - El Tagamoa,20000,200
Cairo,Cairo,apartment,New Cairo - El Tagamoa,20000,133
Cairo,Cairo,apartment,New Cairo - El Tagamoa,32000,145
Cairo,Cairo,apartment,Madinaty,4700,82
Cairo,Cairo,apartment,Madinaty,5000,107
Cairo,Cairo,apartment,Rehab City,15000,99
Giza,Giza,apartment,Sheikh Zayed,6000,130
Alexandria,Alexandria,apartment,Kafr Abdo,8000,175
Cairo,Cairo,apartment,New Cairo - El Tagamoa,21000,240
Giza,Giza,apartment,Dokki,14000,85
Cairo,Cairo,apartment,Rehab City,15000,99
Cairo,Cairo,apartment,New Cairo - El Tagamoa,12000,160
Alexandria,Alexandria,apartment,Kafr Abdo,7000,165
Cairo,Cairo,apartment,Nasr City,20000,300
Cairo,Cairo,apartment,Rehab City,16000,90
Cairo,Cairo,apartment,Madinaty,9500,175
Cairo,Cairo,apartment,Madinaty,6500,135
Cairo,Cairo,apartment,New Cairo - El Tagamoa,19000,165
Cairo,Cairo,apartment,New Cairo - El Tagamoa,20000,208
Cairo,Cairo,duplex,New Cairo - El Tagamoa,10000,350
Cairo,Cairo,apartment,Rehab City,17000,90
Cairo,Cairo,studio,New Cairo - El Tagamoa,28000,100
Cairo,Cairo,apartment,Rehab City,20000,136
Cairo,Cairo,apartment,New Cairo - El Tagamoa,14000,165
Cairo,Cairo,apartment,New Cairo - El Tagamoa,24000,197
Cairo,Cairo,duplex,New Cairo - El Tagamoa,34000,290
Cairo,Cairo,apartment,Rehab City,17000,90
Giza,Giza,apartment,Sheikh Zayed,5000,190
Cairo,Cairo,duplex,New Cairo - El Tagamoa,30000,311
Cairo,Cairo,apartment,Rehab City,17000,99
Cairo,Cairo,apartment,Madinaty,9000,175
Cairo,Cairo,apartment,Madinaty,9000,175
