ad_id,scraped_date,type,city,region,price,area,bedrooms,bathrooms,level_numeric,level_label,furnished
194321313,2026-05-10,duplex,Cairo,Mokattam,73000.0,300.0,3,3,0.0,Ground,yes
194269435,2026-05-10,studio,Giza,6th Of October,15000.0,105.0,1,1,,Highest,yes
194266494,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,12000.0,200.0,3,3,1.0,1,no
194325693,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,8500.0,130.0,3,2,2.0,2,yes
194281360,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,5000.0,130.0,2,1,3.0,3,no
194337594,2026-05-10,apartment,Cairo,Nasr City,8500.0,200.0,3,1,0.0,Ground,no
192108854,2026-05-10,apartment,Giza,Hadayek Al-Ahram,3000.0,170.0,3,2,0.0,Ground,unknown
194318105,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,7000.0,160.0,3,2,0.0,Ground,no
194114556,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,3000.0,130.0,3,2,2.0,2,no
194232763,2026-05-10,apartment,Cairo,Nasr City,15000.0,280.0,4,2,6.0,6,no
194265773,2026-05-10,apartment,Giza,Sheikh Zayed,18000.0,134.0,3,2,3.0,3,no
194168189,2026-05-10,apartment,Giza,6th Of October,22000.0,266.0,3,3,2.0,2,unknown
194298652,2026-05-10,duplex,Giza,Sheikh Zayed,23000.0,240.0,3,3,2.0,2,no
194298915,2026-05-10,apartment,Giza,Sheikh Zayed,12000.0,70.0,2,1,3.0,3,unknown
194323453,2026-05-10,apartment,Alexandria,Kafr Abdo,11000.0,200.0,2,2,10.0,10,no
194266361,2026-05-10,apartment,Cairo,Rehab City,18000.0,108.0,3,1,2.0,2,yes
194239897,2026-05-10,apartment,Cairo,Rehab City,10000.0,171.0,3,3,2.0,2,no
194168066,2026-05-10,apartment,Cairo,Nasr City,22500.0,250.0,3,3,3.0,3,yes
194315439,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000.0,400.0,4,3,2.0,2,unknown
194305318,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,21000.0,208.0,3,3,3.0,3,no
194234345,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,22500.0,210.0,3,3,4.0,4,no
194280827,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000.0,330.0,3,3,3.0,3,yes
194058816,2026-05-10,apartment,Cairo,Madinaty,14000.0,137.0,3,2,3.0,3,yes
193911133,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,30000.0,197.0,3,3,2.0,2,yes
194254521,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,30000.0,133.0,2,2,4.0,4,yes
194236928,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,10000.0,200.0,3,3,0.0,Ground,unknown
194305108,2026-05-10,apartment,Cairo,Nasr City,4000.0,120.0,3,1,3.0,3,no
194222408,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,11000.0,150.0,3,2,0.0,Ground,yes
194211880,2026-05-10,apartment,Cairo,Heliopolis,35000.0,390.0,4,4,6.0,6,no
194270527,2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,45000.0,253.0,4,3,0.0,Ground,yes
194226863,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,17000.0,148.0,2,3,3.0,3,no
194200889,2026-05-10,apartment,Alexandria,Smoha,7000.0,170.0,3,2,3.0,3,no
194302201,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,27000.0,140.0,2,3,2.0,2,yes
194265912,2026-05-10,apartment,Cairo,Rehab City,8500.0,131.0,3,2,3.0,3,no
194280581,2026-05-10,studio,Cairo,New Cairo - El Tagamoa,15000.0,88.0,1,1,2.0,2,unknown
194272217,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000.0,160.0,3,2,2.0,2,unknown
194300652,2026-05-10,apartment,Cairo,Rehab City,18000.0,139.0,3,3,3.0,3,yes
194287865,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000.0,200.0,3,3,2.0,2,unknown
193009315,2026-05-10,apartment,Alexandria,Roushdy,17000.0,280.0,3,3,2.0,2,no
194289187,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000.0,133.0,2,2,1.0,1,no
178912333,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,32000.0,145.0,2,2,2.0,2,yes
194340026,2026-05-10,apartment,Cairo,Madinaty,4700.0,82.0,2,1,2.0,2,no
194339985,2026-05-10,apartment,Cairo,Madinaty,5000.0,107.0,2,1,2.0,2,no
194318788,2026-05-10,apartment,Cairo,Rehab City,15000.0,99.0,2,1,3.0,3,yes
194339877,2026-05-10,apartment,Giza,Sheikh Zayed,6000.0,130.0,3,2,2.0,2,no
194339872,2026-05-10,apartment,Alexandria,Kafr Abdo,8000.0,175.0,3,2,4.0,4,no
194339784,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,21000.0,240.0,3,3,1.0,1,no
194334418,2026-05-10,apartment,Cairo,New Heliopolis,48000.0,82.0,2,1,1.0,1,no
192784654,2026-05-10,apartment,Giza,Dokki,14000.0,85.0,3,1,0.0,Ground,yes
194339630,2026-05-10,apartment,Cairo,Rehab City,15000.0,99.0,2,1,2.0,2,yes
194339624,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,12000.0,160.0,3,2,2.0,2,yes
194339480,2026-05-10,apartment,Alexandria,Kafr Abdo,7000.0,165.0,3,1,3.0,3,no
194338709,2026-05-10,apartment,Cairo,Nasr City,20000.0,300.0,4,3,1.0,1,no
194336353,2026-05-10,apartment,Cairo,Rehab City,16000.0,90.0,2,1,1.0,1,yes
194315750,2026-05-10,apartment,Red Sea,Hurghada,5000.0,100.0,2,1,3.0,3,yes
194285226,2026-05-10,apartment,Cairo,Madinaty,9500.0,175.0,3,3,6.0,6,no
194284904,2026-05-10,apartment,Cairo,Madinaty,6500.0,135.0,3,2,1.0,1,no
194246867,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,19000.0,165.0,3,3,1.0,1,unknown
193795409,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000.0,208.0,3,3,3.0,3,no
193410162,2026-05-10,apartment,Alexandria,Smoha,13000.0,150.0,3,2,9.0,9,yes
191326963,2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,10000.0,350.0,3,3,0.0,Ground,unknown
194339132,2026-05-10,apartment,Cairo,Rehab City,17000.0,90.0,2,1,1.0,1,unknown
194339025,2026-05-10,studio,Cairo,New Cairo - El Tagamoa,28000.0,100.0,1,1,0.0,Ground,yes
194338998,2026-05-10,apartment,Cairo,Rehab City,20000.0,136.0,3,2,1.0,1,yes
194336718,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,14000.0,165.0,3,2,1.0,1,yes
194325982,2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,24000.0,197.0,3,2,1.0,1,yes
194338889,2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,34000.0,290.0,3,4,0.0,Ground,no
194338755,2026-05-10,apartment,Cairo,Rehab City,17000.0,90.0,2,1,0.0,Ground,yes
194338713,2026-05-10,apartment,Giza,Sheikh Zayed,5000.0,190.0,3,2,3.0,3,no
194338621,2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,30000.0,311.0,3,4,2.0,2,yes
194338464,2026-05-10,apartment,Cairo,Rehab City,17000.0,99.0,2,1,0.0,Ground,yes
194338416,2026-05-10,apartment,Cairo,Madinaty,9000.0,175.0,3,3,6.0,6,no
194338368,2026-05-10,apartment,Cairo,Madinaty,9000.0,175.0,3,3,4.0,4,no
194338362,2026-05-10,apartment,Cairo,Heliopolis,5000.0,130.0,2,1,9.0,9,no
140159170,2026-05-10,apartment,Cairo,Maadi,30000.0,200.0,3,3,3.0,3,yes
194338104,2026-05-10,apartment,Cairo,Madinaty,10500.0,145.0,3,2,5.0,5,no
194338094,2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,33000.0,300.0,3,3,0.0,Ground,no
194338050,2026-05-10,apartment,Giza,Sheikh Zayed,40000.0,280.0,3,5,3.0,3,yes
194337870,2026-05-10,studio,Cairo,Rehab City,7000.0,60.0,1,1,0.0,Ground,yes
194337775,2026-05-10,apartment,Cairo,Madinaty,8500.0,149.0,3,3,0.0,Ground,no
194337747,2026-05-10,apartment,Cairo,Nasr City,9000.0,200.0,3,2,4.0,4,yes
