governorate,city,region,ad_id,type,price,area
Cairo,Cairo,Mokattam,194321313,duplex,73000.0,300.0
Giza,6th of October,6th Of October,194269435,studio,15000.0,105.0
Cairo,New Cairo,New Cairo - El Tagamoa,194266494,apartment,12000.0,200.0
Cairo,New Cairo,New Cairo - El Tagamoa,194325693,apartment,8500.0,130.0
Cairo,New Cairo,New Cairo - El Tagamoa,194281360,apartment,5000.0,130.0
Cairo,Cairo,Nasr City,194337594,apartment,8500.0,200.0
Giza,Giza,Hadayek Al-Ahram,192108854,apartment,3000.0,170.0
Cairo,New Cairo,New Cairo - El Tagamoa,194318105,apartment,7000.0,160.0
Cairo,New Cairo,New Cairo - El Tagamoa,194114556,apartment,3000.0,130.0
Cairo,Cairo,Nasr City,194232763,apartment,15000.0,280.0
Giza,Sheikh Zayed,Sheikh Zayed,194265773,apartment,18000.0,134.0
Giza,6th of October,6th Of October,194168189,apartment,22000.0,266.0
Giza,Sheikh Zayed,Sheikh Zayed,194298652,duplex,23000.0,240.0
Giza,Sheikh Zayed,Sheikh Zayed,194298915,apartment,12000.0,70.0
Alexandria,Alexandria,Kafr Abdo,194323453,apartment,11000.0,200.0
Cairo,New Cairo,Rehab City,194266361,apartment,18000.0,108.0
Cairo,New Cairo,Rehab City,194239897,apartment,10000.0,171.0
Cairo,Cairo,Nasr City,194168066,apartment,22500.0,250.0
Cairo,New Cairo,New Cairo - El Tagamoa,194315439,apartment,15000.0,400.0
Cairo,New Cairo,New Cairo - El Tagamoa,194305318,apartment,21000.0,208.0
Cairo,New Cairo,New Cairo - El Tagamoa,194234345,apartment,22500.0,210.0
Cairo,New Cairo,New Cairo - El Tagamoa,194280827,apartment,20000.0,330.0
Cairo,New Cairo,Madinaty,194058816,apartment,14000.0,137.0
Cairo,New Cairo,New Cairo - El Tagamoa,193911133,apartment,30000.0,197.0
Cairo,New Cairo,New Cairo - El Tagamoa,194254521,apartment,30000.0,133.0
Cairo,New Cairo,New Cairo - El Tagamoa,194236928,apartment,10000.0,200.0
Cairo,Cairo,Nasr City,194305108,apartment,4000.0,120.0
Cairo,New Cairo,New Cairo - El Tagamoa,194222408,apartment,11000.0,150.0
Cairo,Cairo,Heliopolis,194211880,apartment,35000.0,390.0
Cairo,New Cairo,New Cairo - El Tagamoa,194270527,duplex,45000.0,253.0
Cairo,New Cairo,New Cairo - El Tagamoa,194226863,apartment,17000.0,148.0
Alexandria,Alexandria,Smoha,194200889,apartment,7000.0,170.0
Cairo,New Cairo,New Cairo - El Tagamoa,194302201,apartment,27000.0,140.0
Cairo,New Cairo,Rehab City,194265912,apartment,8500.0,131.0
Cairo,New Cairo,New Cairo - El Tagamoa,194280581,studio,15000.0,88.0
Cairo,New Cairo,New Cairo - El Tagamoa,194272217,apartment,15000.0,160.0
Cairo,New Cairo,Rehab City,194300652,apartment,18000.0,139.0
Cairo,New Cairo,New Cairo - El Tagamoa,194287865,apartment,20000.0,200.0
Alexandria,Alexandria,Roushdy,193009315,apartment,17000.0,280.0
Cairo,New Cairo,New Cairo - El Tagamoa,194289187,apartment,20000.0,133.0
Cairo,New Cairo,New Cairo - El Tagamoa,178912333,apartment,32000.0,145.0
Cairo,New Cairo,Madinaty,194340026,apartment,4700.0,82.0
Cairo,New Cairo,Madinaty,194339985,apartment,5000.0,107.0
Cairo,New Cairo,Rehab City,194318788,apartment,15000.0,99.0
Giza,Sheikh Zayed,Sheikh Zayed,194339877,apartment,6000.0,130.0
Alexandria,Alexandria,Kafr Abdo,194339872,apartment,8000.0,175.0
Cairo,New Cairo,New Cairo - El Tagamoa,194339784,apartment,21000.0,240.0
Cairo,Cairo,New Heliopolis,194334418,apartment,48000.0,82.0
Giza,Giza,Dokki,192784654,apartment,14000.0,85.0
Cairo,New Cairo,Rehab City,194339630,apartment,15000.0,99.0
Cairo,New Cairo,New Cairo - El Tagamoa,194339624,apartment,12000.0,160.0
Alexandria,Alexandria,Kafr Abdo,194339480,apartment,7000.0,165.0
Cairo,Cairo,Nasr City,194338709,apartment,20000.0,300.0
Cairo,New Cairo,Rehab City,194336353,apartment,16000.0,90.0
Red Sea,Hurghada,Hurghada,194315750,apartment,5000.0,100.0
Cairo,New Cairo,Madinaty,194285226,apartment,9500.0,175.0
Cairo,New Cairo,Madinaty,194284904,apartment,6500.0,135.0
Cairo,New Cairo,New Cairo - El Tagamoa,194246867,apartment,19000.0,165.0
Cairo,New Cairo,New Cairo - El Tagamoa,193795409,apartment,20000.0,208.0
Alexandria,Alexandria,Smoha,193410162,apartment,13000.0,150.0
Cairo,New Cairo,New Cairo - El Tagamoa,191326963,duplex,10000.0,350.0
Cairo,New Cairo,Rehab City,194339132,apartment,17000.0,90.0
Cairo,New Cairo,New Cairo - El Tagamoa,194339025,studio,28000.0,100.0
Cairo,New Cairo,Rehab City,194338998,apartment,20000.0,136.0
